id,query1,query2,label
0,肺气肿同肺大泡有什么区别,肺气肿同肺大泡如何区别？,1
1,吃了众生丸怎么我的喉咙还痛,众生丸吃了4次了我的喉咙还痛是什么情况,1
2,宝宝前段时间支原体肺炎，好了快半月了又复发该怎么办？,宝宝前段时间支原体肺炎，好了快半月了又复发如何是好？,1
3,怎么治疗咳嗽变异性哮喘？,什么叫做咳嗽变异性哮喘,0
4,空气加湿器会引起肺炎吗,空气加湿器会引起支气管肺炎吗,0
5,小孩子一直打喷嚏是不是感冒了？,小孩子一直打喷嚏是感冒了吗？,1
6,是什么原因使我经常反复性的感冒流鼻涕,我总是感冒流鼻涕是什么原因,1
7,怀孕第一个月吃感冒药可以吗？,吃感冒药对孕妇有什么影响吗,1
8,胸膜炎在复查阶段咳嗽请问是什么毛病,胸膜炎在复查阶段咳嗽是得了哪种疾病？,1
9,小孩感冒鼻塞流鼻涕怎么办才好啊?,孩子感冒流鼻涕该咋办呢,1
10,回吸鼻涕带血的问题怎么回事,回吸鼻涕带血的问题怎么治,0
11,细菌胸膜炎吃什么消炎药,为什么会得细菌胸膜炎,0
12,肺炎支原体检测阴性代表什么情况?,肺炎支原体检测阴性说明什么,1
13,请问有肺炎该怎么治疗？,肺炎和哮喘的区别是什么,0
14,"胸膜炎积水,需要抽水怎么抽","胸膜炎积水,需要怎么抽水",1
15,变异性哮喘该如何治疗,变异性哮喘能活多久,0
16,过敏性哮喘发作不吃药能扛过去吗,过敏性哮喘有什么方法治疗，可以彻底治好吗？,0
17,过敏性哮喘病人在平时要注意什么?,什么水果能引起过敏性哮喘,0
18,早期症状的肺炎有什么表现,肺炎只打针可以吗,0
19,孕妇能用新康泰克通气鼻贴吗?,孕妇用新康泰克通气鼻贴好不好,1
20,肺炎治愈后多久可以剧烈运动,肺炎一般要治疗多久才能痊愈?,0
21,太儿欣罗红霉素干混悬剂怎么吃,六个月宝宝吃太儿欣罗红霉素吐了正常吗？,0
22,长期久坐得胸膜炎的可能性大吗,长期久坐可能得胸膜炎吗？,1
23,得了过敏性哮喘这种情况如何处理？,得了过敏性哮喘怎么治？,1
24,小儿支原体肺炎有什么症状？,小儿支原体肺炎会有什么症状？,1
25,感冒主要是怎么传播的？,感冒最主要是通过什么传播的?,1
26,巨能清热解毒口服液能开处方药吗,孩子能喝巨能清热解毒口服液吗,0
27,小宝宝感冒流鼻涕咋办,小宝宝感冒流鼻涕怎么办才好,1
28,我为什么总是感冒,请问：我经常感冒有什么好办法吗？,1
29,胸膜炎半年后能不能每天喝点红酒,喝红酒行对身体有什么危害吗,0
30,哺乳期感冒吃什么药能好？,哺乳期母亲感冒，宝宝需要暂停喂奶吗？,0
31,我咽喉有点肿痛怎么办啊吃左氧沙星吗,盐酸左氧氟沙星片的功效是什么？,0
32,肺炎衣原体慢性感染如何根治？,肺炎衣原体感染一般多久痊愈?,1
33,非洛地平缓释片波依定的价格多少,非洛地平缓释片波依定的功效是什么？,0
34,胸膜炎会双侧肋骨疼吗?,双侧肋骨疼需要拍片吗,0
35,小孩反复咳嗽好了咽喉怎么长了呢,小孩反复感冒咽喉长了怎么办？,1
36,复方蛤青注射液功能如何,复方蛤青注射液效果怎么样,1
37,得了小儿支原体肺炎会不会传染给别人？,小儿支原体肺炎传播途径有什么？,0
38,胸膜炎治不好是怎么回事,胸膜炎治不好是什么原因,1
39,哮喘治疗的最佳方法是什么？,目前最好的哮喘药是什么？,0
40,23价肺炎疫苗打后发烧是病吗,23价肺炎疫苗打后发烧怎么办,1
41,小儿上呼吸道感染可以用哪些消炎药？,小儿上呼吸道感染消炎药可以用哪些？,1
42,URI-上呼吸道感染的症状有哪些,URI-上呼吸道感染的症状是什么,1
43,老人肺炎主要高烧不退怎么办?,老人肺炎经常高烧不退怎么治,1
44,克拉霉素缓释片餐中服用是什么意思？,餐前服用克拉霉素分散片有什么影响吗？,0
45,5岁孩子得肺炎怎么治疗,儿童肺炎怎么办,1
46,三个月宝宝鼻子呼呼响没看到鼻涕有什么办法吗,三个月宝宝鼻子呼呼响没看到鼻涕怎么办,1
47,醋酸地塞米松能否治疗胸膜炎？,醋酸地塞米松治疗胸膜炎可取吗？,1
48,新型肺炎是什么原因引起的,新型肺炎的病因有哪些,1
49,血常规检查出来胸膜炎的机率大吗,什么情况下检查血常规,0
50,喝过啤酒还能吃阿奇霉素片吗,吃阿奇霉素分散片能喝啤酒吗,0
51,请问拉米夫定片服用以后有什么毒副作用吗,请问拉米夫定片过量服用会怎样？,0
52,肺炎两个月的宝宝低烧肺炎,两个月小孩低烧引发肺炎需要做些什么检查?,0
53,小孩咳嗽老是不好总是反反复复咋办的了,小孩咳嗽老是不好总是反反复复如何是好？,1
54,一岁半的小孩不感冒老是流鼻涕怎么办呀,一岁半的小孩不感冒老是流鼻涕怎么用药,1
55,青霉素过敏能不能吃阿莫西林胶囊？,青霉素过敏可不可以吃阿莫西林胶囊？,1
56,新型冠状感染肺炎潜伏期,新型冠状肺炎潜伏期多久,1
57,23价肺炎疫苗需不需要打,什么是23价肺炎疫苗,0
58,四环素属于黄安类吗,四环素是不是黄安类，治疗什么病的？,1
59,得了哮喘有哪些方法保养？,哮喘有哪些治疗保养方式？,1
60,结核胸膜炎是怎么引起的,结核胸膜炎好治吗,0
61,请问头孢氨苄甲氧苄啶片能治疗胸膜炎吗？,请问头孢氨苄甲氧苄啶片有哪些副作用？,0
62,要是孕妇感冒了可以吃什么,要是孕妇感冒了可以吃什么？？,1
63,孩子上呼吸道感染吃什么药?,孩子上呼吸道感染可以吃那种药,1
64,5岁小孩感冒流鼻涕咳嗽吃什么药物,5岁小孩感冒流鼻涕咳嗽应该吃什么药才好,1
65,红霉素肠溶片能治好尿道炎吗,红霉素肠溶片可以治好尿道炎吗,1
66,得过胸膜炎公考报名用填写吗,得过胸膜炎干重活有影响吗,0
67,胸膜炎做CT能查出来吗,CT检查出胸膜炎，请问该如何治疗？,0
68,阿莫西林胶囊是抗生素吗？,阿莫西林胶囊属于抗生素还是消炎药呢,0
69,陈旧性胸膜炎应注意什么,陈旧性胸膜炎注意事项,1
70,打七价肺炎疫苗后孩子得了肺炎怎么办,为何打了7价肺炎的疫苗，宝宝身上起大片红,0
