id,query1,query2,label
0,之前感冒了几天一直没好,感冒一直不见好该咋处理？,1
1,常见的肺气肿症状表现有哪些啊?,肺气肿常见的病因是什么？,0
2,肺气肿肺大泡需不需要手术?,肺气肿需不需要住院治疗,0
3,长时间发烧会引起肺炎吗,感冒发烧时间长了会烧出肺炎吗？,1
4,肺气肿应该怎样治疗？应注意些什么呢？,肺气肿发病类型有多少种？,0
5,儿童反复的咳嗽用什么药能治好呢,儿童一直反复咳嗽怎么治疗才能好呢,1
6,吃感冒药后喝酒会有什么危害,吃感冒药后喝酒会有什么危险吗,1
7,孩子咳嗽哮喘，坚持凉水洗澡行吗,孩子咳嗽哮喘能凉水洗澡吗？,1
8,全身无力酸痛没劲是怎么回事？是不是感冒了,感冒跟全身无力酸痛没劲有什么关系吗,1
9,感冒了吃中药还是西药好？,中西药治疗感冒哪个效果好,1
10,新型冠状病毒肺炎潜伏期多久,新型冠状肺炎发烧吗,0
11,儿童呼吸道感染怎么治疗?,宝宝呼吸道感染有什么症状？,0
12,6岁的孩子得肺炎采用什么方法治疗好,儿童得了肺炎如何治疗,1
13,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是什么病症？,1
14,婴幼儿能不能吃鼻渊通窍颗粒,鼻渊通窍颗粒是中成药吗,0
15,13肺炎疫苗多少钱一针,肠球菌肺炎的病因是什么,0
16,恩久平盐酸氨溴索分散片主治什么病,恩久平盐酸氨溴索分散片能治什么病？,1
17,慢阻肺与肺气肿这两种疾病有什么区别？,慢阻肺与肺气肿怎样吃药？,0
18,阿莫西林胶囊是抗生素吗？,阿莫西林胶囊属于抗生素还是消炎药呢,0
19,大叶肺炎必须输够两个疗程吗,大叶肺炎必须要输够两个疗程吗,1
20,6个月宝宝流鼻涕打疫苗可以吗,6个月宝宝流鼻涕能打疫苗吗,1
21,流鼻涕打喷嚏咳嗽应该服用什么药？,流鼻涕打喷嚏咳嗽吃药可以恢复？,1
22,肺力咳合剂效果不是很好该吃什么药,孩子上火引起咳嗽吃什么药比较好？,0
23,药店里面兆康金莲花胶囊的售价是多少,兆康金莲花胶囊什么价格,1
24,请问肺炎引起心脏衰竭怎么治？,心脏衰竭的危害是什么,0
25,支原体肺炎，好了以后脸和耳朵红是什么情况？,支原体肺炎好治吗？,0
26,特一止咳宝片多少钱可以买的到呢,特一止咳宝片能用于上呼吸道感染吗,0
27,什么药治疗上呼道感染,上呼道感染应该吃什么药,1
28,新型冠状病毒肺炎潜伏期多久,冠状病毒感染性肺炎潜伏期,1
29,小孩上呼道感染是什么原因引起的,小孩上呼吸道感染反复发烧怎么处理,1
30,请问肺气肿怎么有效治疗？,肺气肿可治愈吗？应吃什么药为好？,0
31,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒的副作用是什么？,0
32,体质差容易感冒怎么办？,体质差容易感冒需要补充营养吗,0
33,问一下头孢丙烯干混悬剂一岁宝宝能吃吗,问一下头孢丙烯干混悬剂适宜一岁宝宝吃吗？,1
34,请问肺气肿有什么症状？,肺气肿到底有多严重呢？,0
35,肺气肿呼吸困难，气短，乏力怎么办,肺气肿呼吸困难，怎么缓解？,0
36,大叶肺炎一定要输够两个疗程吗,大叶肺炎输够两个疗程还需要继续吗？,0
37,检查胸膜炎需要做什么检查,检查有没胸膜炎麻烦吗,0
38,肺气肿引发心脏问题能打感冒预防针吗,打感冒预防针对肺气肿引发的心脏问题有影响吗？,1
39,肺炎的早期症状有哪些?,肺炎吃什么药,0
40,新型冠状感染肺炎潜伏期,新型冠状病毒肺炎的症状,0
41,如何预防小儿上呼吸道感染？,小儿上呼吸道感染如何预防？,1
42,感冒流鼻涕需要吃什么药？,感冒流鼻涕能吃什么药？,1
43,长期坐姿不好可能得胸膜炎吗,得胸膜炎跟长期坐姿不好有关系吗,1
44,宝宝老是流鼻涕，咋办？,孩子老是流鼻涕能吃什么？,0
45,小孩支原体肺炎会传染吗,小孩支原体肺炎的症状有哪些啊？,0
46,淋巴细胞性间质性肺炎食疗怎么治？,淋巴细胞性间质性肺炎该怎么食疗？,1
47,哮喘长期使用布地奈德气雾剂是否有副作用,哮喘长期使用布地奈德气雾剂会不会有副作用？,1
48,请问盐酸氨溴索和罗红霉素能同时服用吗,盐酸氨溴索和罗红霉素能同时服用吗,1
49,氨基比林咖啡因片酒后能吃吗,氨基比林咖啡因片有副作用吗,0
50,请问孕妇感冒能吃什么药？,请问孕妇感冒吃那个感冒药好,0
51,胸膜炎会导致心脏移位吗？,胸膜炎治愈后会引起心脏方面的问题吗？,0
52,服用阿奇霉素片注意事项有哪些,服用阿奇霉素片有哪些注意事项,1
53,怀孕期间感冒了，应该怎么办？,怀孕期间感冒了怎么办才好,1
54,得胸膜炎有什么症状？请详细说说,胸膜炎好治吗？,0
55,怀孕第一个月吃感冒药有影响吗？,怀孕第一个月能吃感冒药吗,1
56,肺气肿能吃什么营养品?,肺气肿怎么治？,0
57,孕妇感冒吃什么药好,请问孕妇感冒有什么药可以用？,1
58,咳嗽3个月了，如何判断是不是变异性哮喘,长期咳嗽会不会导致变异性哮喘,1
59,肺力咳合剂效果不太理想需吃什么药代替？,肺力咳合剂效果太好能吃什么药？,1
60,众生丸可以治痘痘吗我不知道有没有用,治疗慢性咽炎众生丸的效果好吗,0
61,小孩感冒鼻塞流鼻涕怎么办才好啊?,小孩感冒一直流鼻涕怎么办,1
62,众生丸吃了4次了我的喉咙还痛啊怎么回事,众生丸吃了4次了我的喉咙还痛是什么情况,1
63,心速宁胶囊哪里有卖的呢贵不贵呢,心速宁胶囊哪个地方有卖的贵吗,1
64,小孩长期流鼻涕是怎么回事？,小孩长期打喷嚏是鼻炎吗,0
65,新型冠状病毒感染性肺炎的症状有哪些症状,冠状病毒感染的症状有哪些？,1
66,婴儿吃阿奇霉素造成吐奶吗？,吃阿奇霉素会导致宝宝吐奶吗？,1
